REPORT,DATE,STATE,COUNTY,FIPS_CODE,ACTIVE,CUMULATIVE,21_DAY_PREMISES
1,04/30/2012,NM,OTERO,35,1,1,0
2,08/01/2012,CO,LAS ANIMAS,71,1,1,0
2,08/01/2012,NM,OTERO,35,1,1,0
3,10/04/2012,CO,LAS ANIMAS,71,0,1,1
3,10/04/2012,NM,OTERO,35,1,1,0
3,10/04/2012,CO,CONEJOS,21,0,1,1
4,12/24/2012,NM,LINCOLN,27,0,1,1
4,12/24/2012,NM,MORA,33,0,2,2
4,12/24/2012,NM,RIO ARRIBA,39,0,5,5
4,12/24/2012,NM,OTERO,35,0,1,1
4,12/24/2012,NM,SANDOVAL,43,0,4,4
4,12/24/2012,NM,SAN MIGUEL,47,0,2,2
4,12/24/2012,NM,SIERRA,51,0,1,1
4,12/24/2012,CO,LAS ANIMAS,71,0,1,1
4,12/24/2012,NM,SOCORRO,53,0,3,3
4,12/24/2012,NM,TAOS,55,0,4,4
4,12/24/2012,NM,VALENCIA,61,0,11,11
