REPORT,DATE,STATE,COUNTY,region,ACTIVE,CUMULATIVE,21_DAY_PREMISES
1,05/27/2014,TX,KINNEY,271,1,1,NA
2,06/06/2014,TX,KINNEY,271,1,1,NA
2,06/06/2014,TX,HIDALGO,215,1,1,NA
3,06/18/2014,TX,KINNEY,271,1,1,NA
3,06/18/2014,TX,SAN PATRICIO,409,2,2,NA
4,06/20/2014,TX,HIDALGO,215,2,2,NA
4,06/20/2014,TX,KINNEY,271,0,1,1
4,06/20/2014,TX,NUECES,355,1,1,NA
4,06/20/2014,TX,SAN PATRICIO,409,2,2,NA
5,06/26/2014,TX,HIDALGO,215,1,2,1
5,06/26/2014,TX,KINNEY,271,0,1,1
5,06/26/2014,TX,NUECES,355,1,1,NA
5,06/26/2014,TX,SAN PATRICIO,409,2,2,NA
6,07/03/2014,TX,HIDALGO,215,1,2,1
6,07/03/2014,TX,KINNEY,271,0,1,1
6,07/03/2014,TX,NUECES,355,1,2,1
6,07/03/2014,TX,SAN PATRICIO,409,1,2,1
7,07/08/2014,TX,HIDALGO,215,0,2,2
7,07/08/2014,TX,JIM WELLS,249,1,1,NA
7,07/08/2014,TX,NUECES,355,0,2,2
7,07/08/2014,TX,SAN PATRICIO,409,0,2,2
7,07/08/2014,TX,KINNEY,271,0,1,0
8,07/11/2014,TX,BASTROP,21,1,1,NA
8,07/11/2014,TX,HIDALGO,215,0,2,2
8,07/11/2014,TX,JIM WELLS,249,1,1,NA
8,07/11/2014,TX,NUECES,355,0,2,2
8,07/11/2014,TX,SAN PATRICIO,409,0,2,2
8,07/11/2014,TX,TRAVIS,453,1,1,NA
8,07/11/2014,TX,KINNEY,271,0,1,0
9,07/17/2014,CO,WELD,123,2,2,NA
9,07/17/2014,TX,BASTROP,21,1,1,NA
9,07/17/2014,TX,HIDALGO,215,0,2,2
9,07/17/2014,TX,JIM WELLS,249,0,1,1
9,07/17/2014,TX,NUECES,355,0,2,2
9,07/17/2014,TX,SAN PATRICIO,409,0,2,2
9,07/17/2014,TX,TRAVIS,453,1,1,NA
9,07/17/2014,TX,KINNEY,271,0,1,0
10,07/21/2014,TX,TRAVIS,453,2,2,NA
10,07/21/2014,TX,BASTROP,21,2,2,NA
10,07/21/2014,TX,NUECES,355,0,2,1
10,07/21/2014,TX,GUADALUPE,187,1,1,NA
10,07/21/2014,CO,BOULDER,13,1,1,NA
10,07/21/2014,CO,WELD,123,2,2,NA
10,07/21/2014,TX,HIDALGO,215,0,2,2
10,07/21/2014,TX,JIM WELLS,249,0,1,1
10,07/21/2014,TX,SAN PATRICIO,409,0,2,2
10,07/21/2014,TX,KINNEY,271,0,1,0
11,07/24/2014,TX,TRAVIS,453,7,7,0
11,07/24/2014,TX,BASTROP,21,5,5,0
11,07/24/2014,CO,WELD,123,6,6,NA
11,07/24/2014,TX,SAN PATRICIO,409,0,2,1
11,07/24/2014,CO,BOULDER,13,1,1,NA
11,07/24/2014,TX,GUADALUPE,187,1,1,NA
11,07/24/2014,TX,HIDALGO,215,0,2,2
11,07/24/2014,TX,JIM WELLS,249,0,1,1
11,07/24/2014,TX,NUECES,355,0,2,0
11,07/24/2014,TX,KINNEY,271,0,1,0
12,07/30/2014,TX,NUECES,355,0,2,0
12,07/30/2014,TX,KINNEY,271,0,1,0
12,07/30/2014,TX,BASTROP,21,17,17,NA
12,07/30/2014,TX,TRAVIS,453,8,8,NA
12,07/30/2014,TX,VAL VERDE,465,1,1,NA
12,07/30/2014,CO,BOULDER,13,9,9,0
12,07/30/2014,TX,SAN PATRICIO,409,0,2,0
12,07/30/2014,CO,EL PASO,41,1,1,NA
12,07/30/2014,CO,LARIMER,69,1,1,NA
12,07/30/2014,CO,WELD,123,17,17,NA
12,07/30/2014,TX,GUADALUPE,187,1,1,NA
12,07/30/2014,TX,HIDALGO,215,0,2,1
12,07/30/2014,TX,JIM WELLS,249,0,1,1
